Tagging,rank,news_type,hash_id,old_hash_id,type,version,Author,Content,Source URL,Source Name,Title,Important,Image URL,Shortened URL,Score,Categories,Relevancy_tags,Country_code,Impressive_score,targeted_city,created_at,position_start_time,position_expire_time,gallery_image_urls,full_gallery_urls,bottom_headline,bottom_text,bottom_panel_link,dfp_tags,trackers
national,0,NEWS,tjbx3nrw-1,manmohan-singh-yashwant-sinha-were-two-of-indias-best-fms-rajan-1703652443169,NEWS,0,Debaroti Adhikary,"Raghuram Rajan, when asked who was India's best Finance Minister in a recent interview, replied former finance ministers Yashwant Sinha and Manmohan Singh. ""Singh did the big liberalisation...which set the pace for growth,"" he said. ""I think Sinha...kept pushing, saying 'we need to do more'...[however] to some extent he didn't get the political support that Singh got,"" he added.",https://www.hindustantimes.com/business/indias-best-finance-minister-ever-manmohan-singh-yashwant-sinha-says-raghuram-rajan-101703608522568-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Hindustan Times,"Manmohan Singh, Yashwant Sinha were two of India's best FMs: Rajan",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703650273583_476.jpg?,https://shrts.in/iffw3,600,"business, national",business,IN,10.33,,1703652443000,1970-01-01T00:00:00Z,2023-12-28T04:11:26.322Z,[],[],'Chidambaram did a dream budget as the FM',Tap to know what more Rajan said,https://www.hindustantimes.com/business/indias-best-finance-minister-ever-manmohan-singh-yashwant-sinha-says-raghuram-rajan-101703608522568-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:business,cat:national,hash:0",[]
national,1,NEWS,imqcrq7d-1,many-hospitalised-as-ammonia-leaks-from-chennai-pipeline-protests-erupt-1703651438652,NEWS,0,Nidhi Sinha,"Protests erupted in Ennore after many were hospitalised as ammonia gas leaked from an undersea pipeline of a private fertiliser company in Tamil Nadu's Chennai. The leak was noticed and stopped subsequently. Company officials said five people, who felt uneasy and were shifted to health facility, are fine now. Joint Commissioner of Avadi, Vijayakumar, claimed there's ""no need to panic"".",https://twitter.com/ANI/status/1739820538556719521?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,ANI,"Many hospitalised as ammonia leaks from Chennai pipeline, protests erupt",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703649852293_797.jpg?,https://shrts.in/rbfC8,800,national,national,IN,12.33,,1703651438000,1970-01-01T00:00:00Z,2023-12-28T04:16:46.671Z,[],[],'People are reassured and are back home',He added,https://www.timesnownews.com/chennai/5-hospitalised-after-ammonia-gas-leak-in-sub-sea-pipe-in-tamil-nadus-ennore-article-106306023/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:800,news:default,cat:national,hash:2,noads:true",[]
national,2,,9b9d8f51-9d92-44d6-a760-4b9d586cc83e,{},CUSTOM_CARD,0,None,None,None,None,None,None,None,None,None,,,None,None,,None,None,None,None,None,None,None,None,None,None
national,3,NEWS,3mdj0euq-1,vadra-renovated-stayed-at-london-property-linked-to-arms-dealer-bhandari-ed-1703651112269,NEWS,0,Sakshita Khosla,"Robert Vadra renovated and stayed at a London property classified as 'proceeds of crime' in a money laundering case against arms deals middleman Sanjay Bhandari, Enforcement Directorate (ED) said. Bhandari held various undisclosed foreign assets, including a property at 12 Bryanston Square, London, where Vadra stayed, ED said. This is the first time ED has named Vadra in the case.",https://indianexpress.com/article/india/robert-vadra-london-property-money-laundering-crime-ed-9083757/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,The Indian Express,"Vadra renovated, stayed at London property linked to arms dealer Bhandari: ED",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703650565166_383.jpg?,https://shrts.in/PiZt1,800,national,national,IN,12.33,,1703651112000,1970-01-01T00:00:00Z,2023-12-28T04:17:32.006Z,[],[],"'Vadra, arrested aide bought land in Faridabad'",Tap to know what more ED said,https://www.hindustantimes.com/india-news/vadra-stayed-in-uk-property-under-probe-in-pmla-case-ed-101703619594333-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:800,news:default,cat:national,hash:3,noads:true",[]
national,4,NEWS,cnliwifm-1,rahul-gandhi-meets-bajrang-punia-other-wrestlers-at-haryana-akhara-pic-surfaces-1703650530577,NEWS,0,Sakshita Khosla,"Congress MP Rahul Gandhi on Wednesday met Bajrang Punia and other wrestlers amid a row over the now-suspended Wrestling Federation of India (WFI). Rahul met with the wrestlers at the Virender Arya Akhara in Haryana's Jhajjar, with visuals of the meeting being shared online. ""He (Rahul) came to see our wrestling routine...He did wrestling,"" said Punia.",https://www.timesnownews.com/india/rahul-gandhi-meets-wrestler-bajrang-punia-others-at-haryana-akhara-amid-row-over-wfi-suspension-article-106306906/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Times Now,"Rahul Gandhi meets Bajrang Punia, other wrestlers at Haryana akhara, pic surfaces",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703649931376_932.jpg?,https://shrts.in/pSXvb,800,"politics, national","national, politics",IN,12.559999999999999,,1703650530000,1970-01-01T00:00:00Z,2023-12-28T04:06:49.939Z,[],[],Punia returned his Padma Shri over WFI poll,Brij Bhushan's aide Sanjay was elected chief,https://inshorts.com/en/amp_news/bajrang-punia-returns-padma-shri-award-to-pm-after-brij-bhushans-aide-elected-wfi-chief-1703245405160?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:800,news:default,cat:politics,cat:national,hash:7",[]
national,5,NEWS,prpjzbil-1,exmlas-son-crashes-bmw-into-barricade-in-hyd-on-xmas-eve-escapes-1703649233306,NEWS,0,Nidhi Sinha,"Ex-MLA Shakil Aamir's son Raheel escaped after crashing his BMW into police barricade in Hyderabad on Christmas Eve. As per a report, Raheel had consumed liquor. Later, an SHO was suspended for falsely implicating another person after FIR was registered against a man who works for Raheel's family. In 2022, Raheel was sitting in a car which killed a toddler.",https://www.siasat.com/drunk-son-of-ex-mla-rams-police-barricade-name-changed-in-fir-2941487/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,The Siasat Daily,"Ex-MLA's son crashes BMW into barricade in Hyd on Xmas eve, escapes",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703647431226_385.jpg?,https://shrts.in/Unf7L,600,"politics, national","national, politics",IN,10.559999999999999,,1703649233000,1970-01-01T00:00:00Z,2023-12-28T03:42:35.274Z,[],[],He was with friends during the recent accident,Tap to know more,https://www.siasat.com/drunk-son-of-ex-mla-rams-police-barricade-name-changed-in-fir-2941487/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:politics,cat:national,hash:1",[]
national,6,NEWS,dn3hagxn-1,dense-fog-in-delhincr-brings-down-visibility-to-50-meters-pics-surface-1703647803337,NEWS,0,Subhangi Singh,"Dense fog engulfed Delhi-NCR on Wednesday morning as the visibility dropped to 50 metres, Safdarjung Observatory reported. Meanwhile, Delhi Airport issued an advisory stating that while landing and takeoffs continue, flights not compliant with CAT III (Category III) standards may face disruptions. Several trains were cancelled due to foggy conditions in the national capital, reported PTI.",https://indianexpress.com/article/cities/delhi/dense-fog-engulfs-delhi-ncr-visibility-drops-to-50-meters-9084157/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,India Express,Dense fog in Delhi-NCR brings down visibility to 50 meters; pics surface,True,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703646069973_354.jpg?,https://shrts.in/4a2oG,800,national,national,IN,47.33,,1703647803000,1970-01-01T00:00:00Z,2023-12-28T03:25:16.352Z,[],[],To watch visuals from Akshardham,Tap here,https://twitter.com/PTI_News/status/1739838536965325067?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:800,news:default,cat:national,hash:9,notification:true",[]
national,7,NEWS,eu3ugnzl-1,most-flyers-on-donkey-flight-grounded-in-france-had-return-tickets-airlines-lawyer-1703647545429,NEWS,0,Sakshita Khosla,"Most of the around 300 Indian passengers, on the Romania-based Legend Airlines flight that was recently grounded in France, had return tickets, the airline's lawyer told NDTV. The 'donkey flight' to Nicaragua was grounded for days over 'human trafficking' suspicions. ""They had hotel reservations and return tickets...I don't know for when...But not for next day,"" said the lawyer Liliana Bakayoko.",https://www.ndtv.com/india-news/most-fliers-had-return-tickets-lawyer-of-airline-in-donkey-flight-row-4747825/amp/1?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,NDTV,Most flyers on 'donkey flight' grounded in France had return tickets: Airline's lawyer,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703647113519_69.jpg?,https://shrts.in/tGu1Y,800,national,national,IN,12.33,,1703647545000,1970-01-01T00:00:00Z,2023-12-28T03:18:55.063Z,[],[],'Client was responsible for checking papers',"They had hired the plane, crew: Lawyer",https://www.ndtv.com/india-news/most-fliers-had-return-tickets-lawyer-of-airline-in-donkey-flight-row-4747825/amp/1?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:800,news:default,cat:national,hash:9,noads:true",[]
national,8,NEWS,lj0vetv5-1,israel-calls-blast-near-embassy-in-india-likely-terror-attack-issues-travel-advisory-1703646880349,NEWS,1,Sakshita Khosla,"The Israeli National Security Council (INSC) has issued a travel advisory for its citizens in India following an explosion near Israeli embassy in Delhi on Tuesday. Calling it a ""possible terror attack"", the INSC warned Israeli nationals against visiting crowded places and openly displaying Israeli symbols in India. It also told Israelis to avoid posting travel itineraries and pictures online.",https://www.hindustantimes.com/india-news/israel-issues-travel-warning-for-its-citizens-in-india-amid-blast-near-its-embassy-in-delhi-101703626394189-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Hindustan Times,"Israel calls blast near embassy in India 'likely terror attack', issues travel advisory",False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/27_wed/img_1703645960054_78.jpg?,https://shrts.in/GpqoG,1000,"world, national","national, world",IN,15.33,,1703646880000,1970-01-01T00:00:00Z,2023-12-28T03:11:28.727Z,[],[],'Incident being probed by local authorities',Tap to know what more the INSC said,https://news.abplive.com/news/world/suspecting-possible-terror-attack-israel-issues-travel-warning-for-india-1652608/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:1000,news:default,cat:world,cat:national,hash:2,noads:true",[]
national,9,NEWS,cfeqhvzs-1,indiarussia-relationship-the-only-constant-in-world-politics-1703616144036,NEWS,0,Satarupa Dhar,"EAM Jaishankar said that while there have been ups and downs in relationships between all countries, the only constant in global politics has been the ties between India and Russia. He also emphasised that countries only cooperate with those with whom they have a “high degree” of trust. He confirmed that he will hold a meeting with his Russian counterpart. ",https://chanakyaforum.com/india-russia-relationship-the-only-constant-in-world-politics-eam-jaishankar/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Chanakya Forum,India-Russia relationship the only constant in world politics,False,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2023/12_dec/26_tue/img_1703616088014_216.jpg?,https://shrts.in/5iRWu,600,"world, national","world, national",IN,10.33,,1703616144000,1970-01-01T00:00:00Z,2023-12-27T18:41:45.964Z,[],[],To read more,Tap here,https://chanakyaforum.com/india-russia-relationship-the-only-constant-in-world-politics-eam-jaishankar?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"score:600,news:default,cat:world,cat:national,hash:8",[]
